Name,CombinedES1
FOXA1,1.0606
DSCC1,1.0603
FLVCR1-DT,1.0594
NAA15,1.059
GUSBP4,1.0577
AKR1E2,1.0577
SFXN2,1.0575
SYNGR3,1.0572
BAIAP3,1.0568
TMPRSS13,1.0565
NUP85,1.0562
RND2,1.055
CACFD1,1.055
CCT4,1.055
SMOX,1.055
PEX13,1.0546
B3GAT3,1.0545
GALNT3,1.0543
CEP250,1.0543
FUT8,1.053
IARS2,1.0525
PARS2,1.0524
ZNF7,1.0524
UPF3B,1.0518
CORO1B,1.0513
AIFM2,1.051
UGT8,1.051
NMRAL1,1.0508
POLB,1.0507
CHD7,1.0506
OXLD1,1.0499
LINC00482,1.0495
PSMB5,1.0489
ATXN2L,1.0488
RNF157,1.0487
LEMD1,1.048
FGL1,1.048
PRSS50,1.0478
SPP2,1.0471
ACVR2B,1.0471
PLCH1,1.0466
NEMP1,1.0465
RNF207,1.0458
LACTB2,1.0455
TRAPPC9,1.0449
PPP1R14D,1.0426
NMNAT2,1.0424
ILDR1,1.0424
ORC2,1.042
FKBP3,1.0416
ARSL,1.0411
ISOC2,1.04
RNF181,1.04
CLCF1,1.0395
HOXA10,1.0395
SLC2A5,1.0392
ANO8,1.0392
ZC3H3,1.0392
STRIP2,1.0388
L3MBTL1,1.0386
DUS4L,1.038
NUFIP2,1.0374
ABCD1,1.0372
ARID4B,1.0372
ROMO1,1.0365
C5orf51,1.0359
PHF14,1.0356
RPL7L1,1.0349
FBXL20,1.0342
TBC1D22B,1.0337
FCHO1,1.0336
SRPK3,1.0331
B3GNT6,1.033
LCLAT1,1.033
MSRB1,1.0324
TESC,1.0316
FASTKD1,1.0308
GDPD1,1.0307
CARMIL2,1.0305
MBTD1,1.0304
PHF19,1.0292
FARSB,1.0288
FKBPL,1.0286
STEAP3,1.0283
RINT1,1.0278
DDX41,1.027
MAGED1,1.0269
GK5,1.0269
RCOR2,1.0257
DNAJC9,1.0246
RASEF,1.0241
ZSCAN9,1.0235
PYCR2,1.0235
LRP8,1.0235
ACAD8,1.0232
SRRT,1.0227
FAM83E,1.0222
ACHE,1.0206
C2CD4A,1.0205
RDH13,1.0197
TNFRSF18,1.0197
POLR1B,1.0194
SLC37A3,1.0192
RPRD2,1.0187
NADK,1.0187
FTCD,1.018
CKAP5,1.0162
IARS1,1.0153
ARMC7,1.0149
ASB16-AS1,1.0144
XPO1,1.0143
PMS2P1,1.0138
ZFYVE19,1.0137
STT3A,1.0128
CNP,1.0121
TM9SF4,1.0119
TMPO,1.0118
RNF208,1.0118
LINGO1,1.0114
CCT2,1.0112
TRRAP,1.0111
OGDHL,1.0106
DDX42,1.0097
PIGM,1.0097
NOL3,1.0093
CDK5RAP1,1.0087
MAGT1,1.0086
ATPSCKMT,1.0077
SUPT5H,1.0066
RPF2,1.0064
STYXL1,1.006
INPPL1,1.0059
TMEM9,1.0055
EFNA5,1.0052
GET4,1.0049
TAF4,1.0047
PTOV1,1.0041
DHX16,1.0035
MED13,1.0031
ZNF444,1.003
RPUSD1,1.0026
PSG1,1.0025
NOLC1,1.0023
VPS72,1.0017
BMS1,1.0017
HOXC9,1.0014
CYC1,1.0008
ZNF544,1.0005
CSPG5,1.0004
PTBP1,1.0003
VKORC1L1,1.0001
TNFSF15,1.0001
