"","beta","HR (95% CI)","z","wald.test","P-value"
"CNGB3|54714","0.0217","1.0219(0.9339-1.1182)","0.4719","0.22","0.637"
"DUSP4|1846","0.0269","1.0273(0.9186-1.1488)","0.4713","0.22","0.6374"
"KCTD8|386617","-0.0357","0.9649(0.8316-1.1196)","-0.4709","0.22","0.6377"
"LOXL1|4016","0.04","1.0409(0.881-1.2297)","0.4708","0.22","0.6378"
"KRTCAP3|200634","-0.0375","0.9632(0.824-1.126)","-0.4704","0.22","0.6381"
"TRDN|10345","0.0275","1.0279(0.9164-1.1529)","0.4698","0.22","0.6385"
"GCSH|2653","0.0335","1.0341(0.899-1.1895)","0.4694","0.22","0.6388"
"MTP18|51537","0.0561","1.0577(0.8363-1.3378)","0.4681","0.22","0.6397"
"TNFRSF9|3604","0.0253","1.0257(0.9224-1.1404)","0.468","0.22","0.6398"
"TMEM79|84283","0.0614","1.0633(0.8221-1.3753)","0.4675","0.22","0.6401"
"MTTP|4547","-0.0227","0.9775(0.8888-1.0752)","-0.4676","0.22","0.6401"
"PTH2R|5746","-0.0249","0.9754(0.8787-1.0828)","-0.4669","0.22","0.6405"
"C3P1|388503","0.0429","1.0438(0.8717-1.2499)","0.4664","0.22","0.6409"
"ATAD3B|83858","0.0407","1.0415(0.8779-1.2357)","0.4663","0.22","0.641"
"COX6A2|1339","-0.0428","0.9581(0.8001-1.1473)","-0.4659","0.22","0.6413"
"KCNH7|90134","0.0347","1.0353(0.8947-1.198)","0.4657","0.22","0.6414"
"TESC|54997","-0.0172","0.983(0.9143-1.0568)","-0.465","0.22","0.6419"
"TEX19|400629","0.0215","1.0217(0.9333-1.1185)","0.4649","0.22","0.642"
"DBF4B|80174","0.0447","1.0457(0.8659-1.2627)","0.4641","0.22","0.6425"
"P4HA3|283208","0.0332","1.0337(0.8985-1.1892)","0.4637","0.22","0.6428"
"C6orf15|29113","0.026","1.0264(0.9192-1.1461)","0.4627","0.21","0.6436"
"SAA2|6289","-0.0152","0.9849(0.9232-1.0506)","-0.4619","0.21","0.6442"
"KISS1|3814","0.0249","1.0252(0.9222-1.1398)","0.4614","0.21","0.6445"
"BNIP3|664","0.0477","1.0489(0.8562-1.2849)","0.4608","0.21","0.645"
"OBP2B|29989","-0.0423","0.9586(0.8007-1.1476)","-0.4606","0.21","0.6451"
"CYP2C18|1562","0.0174","1.0176(0.9449-1.0958)","0.4604","0.21","0.6452"
"IGFL2|147920","0.0179","1.0181(0.9432-1.0989)","0.4602","0.21","0.6454"
"C7orf68|29923","0.0312","1.0317(0.9028-1.1789)","0.458","0.21","0.647"
"ACE2|59272","-0.0204","0.9798(0.898-1.0691)","-0.4579","0.21","0.647"
"TAC3|6866","-0.0215","0.9787(0.8928-1.073)","-0.4578","0.21","0.6471"
"LYG1|129530","-0.0273","0.9731(0.8659-1.0936)","-0.4576","0.21","0.6472"
"LOC100240734|100240734","-0.0525","0.9488(0.7577-1.1882)","-0.4576","0.21","0.6473"
"PIRT|644139","0.0392","1.04(0.879-1.2305)","0.4571","0.21","0.6476"
"MAGEA9B|728269","0.013","1.0131(0.9581-1.0712)","0.4565","0.21","0.648"
"SLC9A2|6549","0.0169","1.0171(0.9458-1.0937)","0.4565","0.21","0.648"
"PUS1|80324","0.0613","1.0632(0.8169-1.3837)","0.4558","0.21","0.6485"
"TEX11|56159","0.0318","1.0324(0.9-1.1842)","0.4548","0.21","0.6492"
"MOCOS|55034","0.0352","1.0359(0.8896-1.2062)","0.4537","0.21","0.65"
"ABCA4|24","-0.0155","0.9846(0.9209-1.0528)","-0.4535","0.21","0.6502"
"MSL3L2|151507","-0.0277","0.9727(0.8631-1.0963)","-0.4533","0.21","0.6503"
"TKTL1|8277","-0.0193","0.9809(0.9025-1.0661)","-0.4531","0.21","0.6505"
"RLN3|117579","-0.0393","0.9615(0.8112-1.1396)","-0.4528","0.21","0.6507"
"BYSL|705","0.0507","1.052(0.8446-1.3103)","0.4522","0.2","0.6511"
"SNORA8|654320","0.0499","1.0512(0.8465-1.3055)","0.4519","0.2","0.6513"
"AGXT2L1|64850","0.015","1.0151(0.9512-1.0833)","0.4519","0.2","0.6514"
"SLC22A18AS|5003","-0.0233","0.9769(0.8827-1.0813)","-0.4506","0.2","0.6523"
"SGK2|10110","0.0201","1.0203(0.9349-1.1134)","0.4502","0.2","0.6525"
"PDLIM4|8572","-0.0271","0.9733(0.865-1.0951)","-0.4502","0.2","0.6526"
"PSORS1C3|100130889","-0.0296","0.9708(0.8531-1.1048)","-0.4492","0.2","0.6533"
"CLCN2|1181","0.0472","1.0484(0.853-1.2885)","0.449","0.2","0.6534"
"TMEM182|130827","0.0561","1.0577(0.8278-1.3514)","0.4487","0.2","0.6536"
"GLTPD2|388323","-0.0161","0.984(0.917-1.0559)","-0.4482","0.2","0.654"
"MUC2|4583","0.0165","1.0167(0.9457-1.093)","0.4476","0.2","0.6544"
"ANKRD34B|340120","-0.0161","0.9841(0.9171-1.0559)","-0.4468","0.2","0.655"
"CHPF2|54480","-0.0781","0.9248(0.6563-1.3033)","-0.4464","0.2","0.6553"
"CREB3L3|84699","0.0359","1.0366(0.8852-1.2139)","0.446","0.2","0.6556"
"ZNF280A|129025","0.0224","1.0227(0.9265-1.1289)","0.4453","0.2","0.6561"
"CAMKV|79012","-0.0448","0.9562(0.7849-1.1647)","-0.4453","0.2","0.6561"
"TTC39C|125488","-0.0421","0.9588(0.7966-1.154)","-0.4451","0.2","0.6563"
"C1orf113|79729","-0.0406","0.9602(0.8028-1.1486)","-0.4439","0.2","0.6571"
"CYP4F3|4051","0.0133","1.0134(0.9556-1.0746)","0.4438","0.2","0.6572"
"ARSE|415","0.0164","1.0165(0.9455-1.0929)","0.4436","0.2","0.6573"
"MT1H|4496","0.0211","1.0213(0.9303-1.1213)","0.4434","0.2","0.6575"
"CLDN12|9069","0.0558","1.0573(0.8262-1.3531)","0.4431","0.2","0.6577"
"NAA11|84779","-0.0239","0.9763(0.8782-1.0854)","-0.443","0.2","0.6578"
"MAGEC1|9947","-0.0171","0.9831(0.9115-1.0603)","-0.4425","0.2","0.6581"
"TUBB4|10382","-0.0303","0.9701(0.848-1.1097)","-0.4423","0.2","0.6583"
"TEX101|83639","-0.0323","0.9682(0.8388-1.1175)","-0.4419","0.2","0.6586"
"RPLP0P2|113157","0.0316","1.0321(0.8971-1.1873)","0.4415","0.19","0.6588"
"NBPF6|653149","0.0361","1.0367(0.8833-1.2169)","0.4414","0.19","0.6589"
"HIST1H2BN|8341","0.0373","1.038(0.8795-1.225)","0.4412","0.19","0.6591"
"LOC389458|389458","-0.0239","0.9764(0.8779-1.0859)","-0.4407","0.19","0.6594"
"SSX6|280657","-0.0341","0.9665(0.8305-1.1248)","-0.4403","0.19","0.6597"
"IKBKE|9641","-0.0498","0.9514(0.762-1.1878)","-0.4402","0.19","0.6598"
"SNAP91|9892","-0.027","0.9734(0.8631-1.0977)","-0.4396","0.19","0.6602"
"MAGEB16|139604","0.0243","1.0246(0.9193-1.1419)","0.439","0.19","0.6607"
"LCN15|389812","0.0258","1.0262(0.9144-1.1516)","0.4389","0.19","0.6608"
"PSD2|84249","0.0334","1.034(0.8906-1.2004)","0.4386","0.19","0.6609"
"ANKRD56|345079","0.0307","1.0312(0.8989-1.1829)","0.4381","0.19","0.6613"
"C1orf182|128229","0.0274","1.0278(0.9091-1.162)","0.4377","0.19","0.6616"
"MYO16|23026","-0.0211","0.9792(0.8909-1.0762)","-0.4366","0.19","0.6624"
"ABCB4|5244","-0.0267","0.9737(0.8635-1.0979)","-0.4355","0.19","0.6632"
"UGT1A9|54600","-0.0125","0.9876(0.9334-1.0449)","-0.4346","0.19","0.6639"
"SLC17A4|10050","-0.0505","0.9508(0.757-1.1942)","-0.434","0.19","0.6643"
"ALOX12B|242","0.0267","1.027(0.9101-1.159)","0.4323","0.19","0.6655"
"IL1RAPL2|26280","-0.0251","0.9753(0.8705-1.0926)","-0.4322","0.19","0.6656"
"SPACA4|171169","-0.03","0.9705(0.8471-1.1118)","-0.4318","0.19","0.6659"
"RASSF6|166824","0.0301","1.0306(0.8988-1.1817)","0.4316","0.19","0.666"
"LHFPL4|375323","-0.0136","0.9865(0.9276-1.0492)","-0.4313","0.19","0.6663"
"SPINK6|404203","-0.035","0.9656(0.8236-1.1321)","-0.431","0.19","0.6665"
"LOC100133469|100133469","-0.021","0.9792(0.8899-1.0775)","-0.4303","0.19","0.667"
"MAT1A|4143","0.0169","1.0171(0.9415-1.0987)","0.4302","0.19","0.6671"
"TRAP1|10131","0.0722","1.0748(0.7733-1.4939)","0.4297","0.18","0.6674"
"CLDN9|9080","-0.0183","0.9819(0.9034-1.0672)","-0.4296","0.18","0.6675"
"KISS1R|84634","-0.0189","0.9813(0.9001-1.0697)","-0.4292","0.18","0.6678"
"GRIK5|2901","0.0197","1.0199(0.932-1.1161)","0.4291","0.18","0.6678"
"CPT1C|126129","-0.0242","0.9761(0.8738-1.0903)","-0.4287","0.18","0.6681"
"AACSL|729522","-0.0252","0.9751(0.869-1.0942)","-0.4286","0.18","0.6682"
"SALL4|57167","0.0229","1.0231(0.9214-1.1361)","0.4276","0.18","0.669"
"ACP6|51205","0.0528","1.0542(0.8276-1.3428)","0.4276","0.18","0.669"
"LOC100133612|100133612","-0.0319","0.9686(0.8368-1.1213)","-0.4269","0.18","0.6695"
"C20orf165|128497","-0.0359","0.9648(0.8183-1.1375)","-0.4267","0.18","0.6696"
"ADAM15|8751","-0.0537","0.9477(0.7402-1.2134)","-0.426","0.18","0.6701"
"TLCD1|116238","0.0452","1.0463(0.8495-1.2887)","0.4257","0.18","0.6704"
"KIRREL2|84063","-0.0186","0.9816(0.9007-1.0696)","-0.4245","0.18","0.6712"
"UGT2B15|7366","-0.0166","0.9836(0.9111-1.0618)","-0.424","0.18","0.6715"
"ANGPTL3|27329","-0.0361","0.9645(0.8161-1.1399)","-0.4237","0.18","0.6718"
"XKR7|343702","-0.0365","0.9641(0.8142-1.1417)","-0.4237","0.18","0.6718"
"CATSPERB|79820","-0.0172","0.983(0.9077-1.0645)","-0.4229","0.18","0.6724"
"NKX2-3|159296","0.021","1.0212(0.9265-1.1257)","0.4229","0.18","0.6724"
"LHFPL5|222662","0.0297","1.0301(0.8975-1.1823)","0.4223","0.18","0.6728"
"LOC647309|647309","0.0201","1.0203(0.9295-1.1198)","0.4221","0.18","0.6729"
"HCG22|285834","-0.0349","0.9657(0.8213-1.1356)","-0.4216","0.18","0.6733"
"B3GNT6|192134","-0.0122","0.9879(0.9334-1.0455)","-0.4214","0.18","0.6735"
"MUC4|4585","0.0147","1.0148(0.9477-1.0867)","0.4211","0.18","0.6737"
"VWA5B2|90113","-0.0246","0.9757(0.87-1.0942)","-0.4203","0.18","0.6743"
"GAGE1|2543","0.0209","1.0211(0.9263-1.1256)","0.4199","0.18","0.6746"
"DUSP13|51207","-0.0152","0.9849(0.9172-1.0576)","-0.4197","0.18","0.6747"
"CXCL14|9547","-0.0128","0.9873(0.9298-1.0482)","-0.4195","0.18","0.6749"
"CYP2B6|1555","-0.0203","0.9799(0.8912-1.0775)","-0.419","0.18","0.6752"
"MSI2|124540","-0.0544","0.947(0.734-1.2218)","-0.4187","0.18","0.6754"
"S100A5|6276","-0.0199","0.9803(0.8929-1.0762)","-0.4179","0.17","0.676"
"MAGED1|9500","-0.059","0.9427(0.7141-1.2444)","-0.4165","0.17","0.6771"
"KRT32|3882","-0.0277","0.9727(0.8539-1.1081)","-0.4163","0.17","0.6772"
"APBA2|321","0.0234","1.0237(0.9168-1.143)","0.4159","0.17","0.6775"
"CAPN5|726","-0.0269","0.9735(0.8573-1.1053)","-0.4152","0.17","0.678"
"SPIRE2|84501","-0.0299","0.9705(0.8427-1.1178)","-0.415","0.17","0.6781"
"ISL1|3670","-0.0167","0.9834(0.9088-1.0642)","-0.4147","0.17","0.6783"
"DKK4|27121","0.0318","1.0324(0.8881-1.2001)","0.4145","0.17","0.6785"
"EDDM3A|10876","-0.0549","0.9466(0.7301-1.2272)","-0.4144","0.17","0.6786"
"CBLC|23624","0.0275","1.0279(0.9024-1.1708)","0.414","0.17","0.6789"
"PCSK6|5046","0.0236","1.0239(0.9154-1.1453)","0.4137","0.17","0.6791"
"PLD5|200150","-0.0153","0.9848(0.9159-1.0589)","-0.4135","0.17","0.6792"
"NCRNA00230B|401629","-0.0163","0.9838(0.9105-1.063)","-0.4133","0.17","0.6794"
"MAGEB2|4113","-0.0144","0.9857(0.9204-1.0556)","-0.4124","0.17","0.6801"
"SMUG1|23583","0.0587","1.0605(0.8021-1.402)","0.4121","0.17","0.6803"
"B3GNT4|79369","0.0193","1.0195(0.93-1.1177)","0.412","0.17","0.6803"
"TMEM82|388595","0.0198","1.02(0.9282-1.121)","0.4121","0.17","0.6803"
"CDH4|1002","0.0183","1.0184(0.9334-1.1113)","0.4105","0.17","0.6814"
"RUNX2|860","-0.0383","0.9624(0.8013-1.156)","-0.4097","0.17","0.682"
"MFSD3|113655","0.0366","1.0373(0.8706-1.236)","0.4098","0.17","0.682"
"C3orf30|152405","-0.0265","0.9738(0.8578-1.1055)","-0.4095","0.17","0.6822"
"SOX1|6656","0.0209","1.0211(0.9238-1.1286)","0.4083","0.17","0.683"
"SLC25A10|1468","-0.0456","0.9554(0.7673-1.1896)","-0.4077","0.17","0.6835"
"ZMYND19|116225","-0.0603","0.9415(0.7042-1.2587)","-0.4072","0.17","0.6839"
"HIST2H2AC|8338","0.0293","1.0297(0.8943-1.1856)","0.4072","0.17","0.6839"
"NPB|256933","0.025","1.0253(0.9088-1.1568)","0.4065","0.17","0.6844"
"XAGE1D|9503","-0.0087","0.9913(0.9504-1.034)","-0.4051","0.16","0.6854"
"C8G|733","0.0268","1.0271(0.9022-1.1694)","0.4046","0.16","0.6857"
"TAS2R38|5726","-0.0338","0.9667(0.8204-1.1392)","-0.4039","0.16","0.6863"
"HGC6.3|100128124","-0.0208","0.9794(0.8853-1.0835)","-0.4039","0.16","0.6863"
"POU3F2|5454","0.014","1.0141(0.9473-1.0856)","0.4036","0.16","0.6865"
"PBLD|64081","-0.0311","0.9694(0.8331-1.1279)","-0.4028","0.16","0.6871"
"PAGE2|203569","-0.0178","0.9824(0.9008-1.0713)","-0.4023","0.16","0.6875"
"CCNI2|645121","-0.0259","0.9744(0.8587-1.1058)","-0.4018","0.16","0.6878"
"KCNH4|23415","-0.0312","0.9693(0.8323-1.1289)","-0.401","0.16","0.6884"
"DDX11|1663","0.037","1.0377(0.866-1.2433)","0.4007","0.16","0.6886"
"HS6ST2|90161","0.0199","1.0201(0.9255-1.1243)","0.4004","0.16","0.6889"
"MRPL36|64979","-0.0497","0.9515(0.746-1.2137)","-0.4003","0.16","0.689"
"TKTL2|84076","0.0465","1.0476(0.8341-1.3158)","0.4","0.16","0.6891"
"PON1|5444","0.0178","1.018(0.9329-1.1109)","0.3998","0.16","0.6893"
"ST18|9705","-0.0242","0.9761(0.8665-1.0996)","-0.3979","0.16","0.6907"
"AKR1C2|1646","-0.0089","0.9911(0.9486-1.0356)","-0.3977","0.16","0.6909"
"C4orf21|55345","0.0365","1.0371(0.8665-1.2413)","0.3976","0.16","0.691"
"GSDMA|284110","-0.0254","0.975(0.8601-1.1052)","-0.3964","0.16","0.6918"
"PDCD6|10016","0.0575","1.0592(0.7964-1.4088)","0.3953","0.16","0.6926"
"GMDS|2762","-0.0441","0.9569(0.769-1.1907)","-0.3951","0.16","0.6928"
"CLEC2L|154790","-0.0201","0.9801(0.8873-1.0827)","-0.3951","0.16","0.6928"
"TRIM16L|147166","0.0217","1.0219(0.9177-1.138)","0.3949","0.16","0.6929"
"HEATR7B2|133558","0.0531","1.0545(0.8101-1.3727)","0.3946","0.16","0.6931"
"PROM2|150696","-0.0277","0.9727(0.8476-1.1162)","-0.3944","0.16","0.6933"
"REEP6|92840","0.0203","1.0205(0.9225-1.129)","0.3943","0.16","0.6934"
"GLYATL2|219970","-0.0154","0.9847(0.9116-1.0635)","-0.393","0.15","0.6944"
"FBXO41|150726","-0.0278","0.9726(0.8464-1.1176)","-0.3919","0.15","0.6951"
"CAMK2N2|94032","0.0199","1.0201(0.9235-1.1268)","0.3918","0.15","0.6952"
"CACNA1B|774","0.0146","1.0147(0.9432-1.0916)","0.3914","0.15","0.6955"
"FAM135B|51059","0.0229","1.0231(0.9123-1.1474)","0.391","0.15","0.6958"
"SHD|56961","0.0318","1.0323(0.8803-1.2105)","0.3908","0.15","0.696"
"INHBB|3625","0.0263","1.0266(0.8998-1.1714)","0.3906","0.15","0.6961"
"CCL22|6367","0.0225","1.0228(0.9133-1.1453)","0.3896","0.15","0.6968"
"CFHR1|3078","0.0264","1.0267(0.8992-1.1723)","0.3895","0.15","0.6969"
"ONECUT2|9480","0.0158","1.016(0.9381-1.1003)","0.3892","0.15","0.6971"
"SHFM1|7979","-0.0505","0.9507(0.737-1.2263)","-0.3892","0.15","0.6972"
"E2F3|1871","0.0525","1.0539(0.8088-1.3732)","0.3886","0.15","0.6976"
"LOC255167|255167","0.0173","1.0175(0.9322-1.1106)","0.3879","0.15","0.6981"
"HAR1B|768097","-0.0241","0.9762(0.8642-1.1027)","-0.3876","0.15","0.6983"
"LCT|3938","0.0149","1.015(0.941-1.0949)","0.3861","0.15","0.6994"
"MCM3APAS|114044","0.0391","1.0398(0.8527-1.2681)","0.3858","0.15","0.6997"
"SAGE1|55511","-0.0191","0.9811(0.8901-1.0813)","-0.3851","0.15","0.7002"
"PLXNA3|55558","-0.0392","0.9616(0.7873-1.1744)","-0.3843","0.15","0.7007"
"CABP7|164633","-0.0221","0.9781(0.8738-1.0949)","-0.3841","0.15","0.7009"
"C9orf172|389813","0.0309","1.0314(0.8809-1.2076)","0.3837","0.15","0.7012"
"C8orf51|78998","-0.0373","0.9633(0.7953-1.1669)","-0.3817","0.15","0.7027"
"LGALS7|3963","0.0165","1.0167(0.9339-1.1069)","0.3817","0.15","0.7027"
"CECR7|100130418","-0.0163","0.9838(0.9046-1.07)","-0.381","0.15","0.7032"
"LMX1A|4009","-0.0275","0.9729(0.8447-1.1206)","-0.3808","0.14","0.7034"
"FAT2|2196","0.0152","1.0154(0.9385-1.0985)","0.3795","0.14","0.7043"
"CASR|846","-0.0182","0.982(0.8937-1.079)","-0.3779","0.14","0.7055"
"CST2|1470","0.0153","1.0155(0.9375-1.0999)","0.3765","0.14","0.7065"
"DLEU2|8847","-0.0346","0.966(0.8067-1.1568)","-0.3762","0.14","0.7068"
"DEPDC7|91614","0.0212","1.0214(0.9144-1.141)","0.3756","0.14","0.7072"
"SLC9A3R1|9368","-0.0379","0.9629(0.79-1.1736)","-0.3748","0.14","0.7078"
"RNF39|80352","-0.0207","0.9795(0.8789-1.0917)","-0.3738","0.14","0.7085"
"GNAT3|346562","-0.0817","0.9215(0.6003-1.4147)","-0.3737","0.14","0.7087"
"ZNF676|163223","-0.0172","0.983(0.8984-1.0756)","-0.3735","0.14","0.7088"
"SLC24A2|25769","0.026","1.0263(0.8955-1.1763)","0.3732","0.14","0.709"
"SEPX1|51734","-0.0353","0.9653(0.8017-1.1622)","-0.3731","0.14","0.7091"
"ODZ4|26011","0.0245","1.0248(0.9008-1.1659)","0.3728","0.14","0.7093"
"PGLYRP4|57115","-0.0155","0.9846(0.9074-1.0684)","-0.3726","0.14","0.7095"
"ANKRD34A|284615","0.0265","1.0268(0.8932-1.1805)","0.3724","0.14","0.7096"
"NOVA1|4857","0.0162","1.0163(0.9332-1.1069)","0.3717","0.14","0.7101"
"DCAF12L2|340578","0.0241","1.0244(0.9021-1.1633)","0.3716","0.14","0.7102"
"SLMO1|10650","0.0363","1.037(0.8561-1.256)","0.3711","0.14","0.7105"
"CDRT1|374286","-0.0245","0.9758(0.8573-1.1107)","-0.3708","0.14","0.7108"
"HIST1H2BE|8344","0.03","1.0305(0.8793-1.2077)","0.3706","0.14","0.7109"
"SHISA9|729993","-0.0206","0.9796(0.8784-1.0925)","-0.3702","0.14","0.7112"
"C8orf73|642475","-0.0234","0.9768(0.8627-1.1061)","-0.3699","0.14","0.7115"
"FGL1|2267","0.0092","1.0093(0.9611-1.0598)","0.3695","0.14","0.7118"
"GPX2|2877","0.0085","1.0085(0.9639-1.0553)","0.3681","0.14","0.7128"
"CSTF2|1478","0.0673","1.0696(0.7474-1.5306)","0.3678","0.14","0.713"
"NCRNA00176|284739","-0.0236","0.9767(0.861-1.1078)","-0.3675","0.14","0.7133"
"TLX2|3196","0.0263","1.0267(0.8921-1.1816)","0.3672","0.13","0.7135"
"SLC6A19|340024","0.0294","1.0299(0.8802-1.205)","0.3672","0.13","0.7135"
"MGC23270|196872","0.0312","1.0317(0.8732-1.2189)","0.3667","0.13","0.7139"
"CDK4|1019","-0.041","0.9598(0.7706-1.1955)","-0.3659","0.13","0.7144"
"ADAM8|101","0.0272","1.0276(0.888-1.1891)","0.3653","0.13","0.7149"
"C21orf130|284835","-0.0283","0.9721(0.835-1.1317)","-0.3651","0.13","0.715"
"PPEF1|5475","0.0205","1.0207(0.9142-1.1397)","0.3648","0.13","0.7152"
"TFAP2D|83741","-0.0138","0.9862(0.9153-1.0627)","-0.3636","0.13","0.7162"
"BMP8B|656","0.0324","1.0329(0.8673-1.2302)","0.3634","0.13","0.7163"
"FZD10|11211","0.0142","1.0143(0.9394-1.095)","0.3619","0.13","0.7174"
"EMX2OS|196047","0.0273","1.0277(0.8863-1.1917)","0.3619","0.13","0.7174"
"TMEM132E|124842","0.0213","1.0215(0.9103-1.1462)","0.3617","0.13","0.7175"
"TRAF4|9618","-0.0557","0.9458(0.6992-1.2794)","-0.3613","0.13","0.7179"
"METTL1|4234","-0.0407","0.9602(0.7699-1.1974)","-0.3609","0.13","0.7182"
"TUBB2A|7280","-0.0235","0.9768(0.86-1.1095)","-0.3609","0.13","0.7182"
"SLC22A11|55867","0.0235","1.0237(0.9012-1.163)","0.3607","0.13","0.7183"
"SPRR2E|6704","0.0222","1.0225(0.906-1.1539)","0.36","0.13","0.7189"
"C8orf30A|51236","0.0491","1.0503(0.8039-1.3722)","0.3598","0.13","0.719"
"LOC81691|81691","0.0358","1.0364(0.853-1.2592)","0.3598","0.13","0.719"
"LRRN1|57633","-0.0158","0.9843(0.9032-1.0728)","-0.3598","0.13","0.719"
"HECW1|23072","0.0201","1.0204(0.9143-1.1387)","0.3597","0.13","0.7191"
"ZFR2|23217","-0.0151","0.9851(0.9074-1.0693)","-0.3595","0.13","0.7192"
"TMEM200C|645369","0.0223","1.0226(0.9054-1.1549)","0.3593","0.13","0.7194"
"AP1S1|1174","0.0495","1.0507(0.8018-1.3769)","0.3585","0.13","0.72"
"RASAL1|8437","0.0197","1.0198(0.9156-1.136)","0.3571","0.13","0.721"
"B4GALT2|8704","0.0576","1.0593(0.7721-1.4532)","0.3568","0.13","0.7212"
"UCHL1|7345","0.013","1.0131(0.9432-1.0881)","0.3559","0.13","0.7219"
"GABRA3|2556","0.0121","1.0122(0.9467-1.0822)","0.3557","0.13","0.7221"
"ITIH1|3697","-0.0374","0.9633(0.7839-1.1838)","-0.3553","0.13","0.7223"
"PLEKHN1|84069","0.0258","1.0261(0.8897-1.1835)","0.3544","0.13","0.723"
"GAGE4|2576","-0.0154","0.9847(0.9042-1.0723)","-0.3544","0.13","0.723"
"HTR3B|9177","0.0219","1.0221(0.9056-1.1536)","0.3543","0.13","0.7231"
"CLDN10|9071","-0.0095","0.9905(0.9394-1.0444)","-0.3532","0.12","0.7239"
"CHL1|10752","0.0159","1.016(0.9304-1.1095)","0.353","0.12","0.7241"
"CXorf64|100130613","-0.0211","0.9791(0.8706-1.101)","-0.353","0.12","0.7241"
"GABRB1|2560","0.03","1.0305(0.8721-1.2176)","0.3528","0.12","0.7243"
"ONECUT1|3175","0.018","1.0182(0.9211-1.1255)","0.3524","0.12","0.7245"
"NKAIN2|154215","0.0154","1.0155(0.9319-1.1067)","0.3514","0.12","0.7253"
"HOXC9|3225","0.0141","1.0142(0.9376-1.097)","0.3511","0.12","0.7255"
"CCBP2|1238","-0.0159","0.9842(0.9005-1.0757)","-0.3508","0.12","0.7257"
"DCLK1|9201","0.0211","1.0213(0.9079-1.1489)","0.3507","0.12","0.7258"
"LOC440040|440040","0.0349","1.0355(0.8519-1.2587)","0.3506","0.12","0.7259"
"RASL10B|91608","-0.0189","0.9812(0.8825-1.091)","-0.3502","0.12","0.7262"
"AQP11|282679","0.0338","1.0344(0.856-1.2498)","0.35","0.12","0.7263"
"FOXP3|50943","-0.0245","0.9758(0.8506-1.1194)","-0.35","0.12","0.7263"
"LIMK1|3984","0.0394","1.0402(0.8342-1.2971)","0.3501","0.12","0.7263"
"WNT10B|7480","-0.0244","0.9759(0.851-1.1192)","-0.3492","0.12","0.7269"
"DLX6AS|285987","-0.0168","0.9833(0.8944-1.081)","-0.3481","0.12","0.7277"
"OBFC2B|79035","0.0551","1.0566(0.7742-1.4421)","0.3471","0.12","0.7285"
"KCNK15|60598","0.0188","1.019(0.916-1.1336)","0.3459","0.12","0.7294"
"DAP|1611","-0.0489","0.9523(0.7213-1.2572)","-0.3451","0.12","0.73"
"MGC4473|79100","0.0315","1.032(0.8625-1.2348)","0.3445","0.12","0.7305"
"STK32B|55351","0.0194","1.0196(0.913-1.1386)","0.3441","0.12","0.7308"
"APOA2|336","0.0277","1.0281(0.8777-1.2043)","0.3437","0.12","0.7311"
"C17orf93|360205","0.0188","1.019(0.9152-1.1346)","0.3434","0.12","0.7313"
"HIST1H2AL|8332","0.0313","1.0318(0.8626-1.2342)","0.343","0.12","0.7316"
"ELAVL3|1995","-0.0218","0.9785(0.8639-1.1083)","-0.3427","0.12","0.7318"
"YBX2|51087","-0.0118","0.9883(0.9237-1.0573)","-0.3425","0.12","0.732"
"DAZ1|1617","-0.0253","0.975(0.8434-1.1271)","-0.3422","0.12","0.7322"
"HEPHL1|341208","0.0189","1.019(0.9141-1.136)","0.3403","0.12","0.7336"
"CRLF2|64109","-0.0194","0.9808(0.8767-1.0971)","-0.3397","0.12","0.7341"
"HAGHL|84264","0.0219","1.0221(0.9004-1.1602)","0.3383","0.11","0.7351"
"GABRG3|2567","-0.017","0.9831(0.8908-1.085)","-0.338","0.11","0.7354"
"CNDP1|84735","0.0245","1.0248(0.889-1.1813)","0.3377","0.11","0.7356"
"ATP2B2|491","-0.0231","0.9772(0.8545-1.1175)","-0.3375","0.11","0.7357"
"ABCC3|8714","-0.0212","0.9791(0.8658-1.1071)","-0.3374","0.11","0.7358"
"TRY6|154754","0.0126","1.0127(0.941-1.0899)","0.3362","0.11","0.7367"
"UOX|391051","-0.0343","0.9663(0.7912-1.1801)","-0.336","0.11","0.7369"
"ANKLE1|126549","0.0196","1.0198(0.9095-1.1435)","0.3358","0.11","0.737"
"C11orf80|79703","-0.0416","0.9592(0.7522-1.2232)","-0.3355","0.11","0.7372"
"TF|7018","-0.0097","0.9903(0.9356-1.0482)","-0.3354","0.11","0.7374"
"TRPM2|7226","-0.0227","0.9775(0.8558-1.1165)","-0.3352","0.11","0.7375"
"HPDL|84842","0.0185","1.0187(0.9138-1.1357)","0.3341","0.11","0.7383"
"PSD|5662","0.027","1.0274(0.8769-1.2036)","0.3341","0.11","0.7383"
"PPFIA4|8497","-0.0162","0.9839(0.8946-1.0822)","-0.3337","0.11","0.7386"
"RGS17|26575","0.0153","1.0154(0.9281-1.1108)","0.3332","0.11","0.739"
"C3orf67|200844","-0.0234","0.9768(0.8509-1.1214)","-0.333","0.11","0.7392"
"WDR88|126248","-0.0314","0.9691(0.8051-1.1664)","-0.3322","0.11","0.7398"
"MANF|7873","-0.0497","0.9515(0.7096-1.2759)","-0.332","0.11","0.7399"
"MTMR11|10903","0.0246","1.0249(0.8865-1.1848)","0.3319","0.11","0.7399"
