"","beta","HR (95% CI)","z","wald.test","P-value"
"TPX2|22974","0.2147","1.2395(1.089-1.4108)","3.2507","10.57","0.0012"
"KIF11|3832","0.2773","1.3196(1.1161-1.5602)","3.2447","10.53","0.0012"
"CHEK1|1111","0.2915","1.3384(1.1218-1.5968)","3.2364","10.47","0.0012"
"CENPH|64946","0.3609","1.4346(1.1537-1.7838)","3.2457","10.53","0.0012"
"GREB1L|80000","0.1398","1.1501(1.0571-1.2513)","3.2505","10.57","0.0012"
"C11orf41|25758","0.1643","1.1786(1.0672-1.3016)","3.2445","10.53","0.0012"
"PKP2|5318","0.1507","1.1626(1.061-1.274)","3.2289","10.43","0.0012"
"RRM2|6241","0.2432","1.2753(1.0991-1.4797)","3.2064","10.28","0.0013"
"CCDC99|54908","0.3867","1.4721(1.1625-1.8642)","3.2097","10.3","0.0013"
"ARL14|80117","0.1101","1.1164(1.044-1.1938)","3.2205","10.37","0.0013"
"TRIM6|117854","0.2209","1.2472(1.0906-1.4263)","3.2265","10.41","0.0013"
"TYMS|7298","0.2735","1.3145(1.1114-1.5548)","3.1938","10.2","0.0014"
"CKAP4|10970","0.4118","1.5096(1.1728-1.943)","3.198","10.23","0.0014"
"LPGAT1|9926","0.4461","1.5622(1.1889-2.0527)","3.2016","10.25","0.0014"
"WDR4|10785","0.4612","1.586(1.1944-2.1059)","3.188","10.16","0.0014"
"APCDD1L|164284","0.1312","1.1402(1.0518-1.2361)","3.1859","10.15","0.0014"
"CIDEC|63924","0.1354","1.145(1.054-1.2439)","3.2028","10.26","0.0014"
"KPNA2|3838","0.3301","1.3911(1.1341-1.7064)","3.1675","10.03","0.0015"
"ENO1|2023","0.5068","1.6599(1.2131-2.2712)","3.1676","10.03","0.0015"
"HCN2|610","0.1552","1.1679(1.0611-1.2854)","3.171","10.05","0.0015"
"PKIB|5570","0.1678","1.1827(1.0663-1.3117)","3.1755","10.08","0.0015"
"ACAD8|27034","-0.331","0.7182(0.5846-0.8822)","-3.1534","9.94","0.0016"
"DLX2|1746","0.2012","1.2228(1.079-1.3858)","3.1521","9.94","0.0016"
"FOXM1|2305","0.2086","1.232(1.0813-1.4037)","3.1351","9.83","0.0017"
"PRC1|9055","0.2656","1.3043(1.1048-1.5397)","3.1373","9.84","0.0017"
"OIP5|11339","0.2021","1.2239(1.0786-1.3887)","3.1343","9.82","0.0017"
"TRIM59|286827","0.3323","1.3941(1.1334-1.7148)","3.1459","9.9","0.0017"
"FAM72A|729533","0.2118","1.2359(1.0825-1.411)","3.1321","9.81","0.0017"
"ADC|113451","-0.2671","0.7656(0.6479-0.9048)","-3.1345","9.83","0.0017"
